scope,method,relative_alpha,n,accuracy,wrong_target_hit,invalid,query_label_used
full_prefill_tokens,correct_label,0.0001,12,0.25,0.0,0.0,True
full_prefill_tokens,correct_label,0.0003,12,1.0,0.0,0.0,True
full_prefill_tokens,correct_label,0.001,12,1.0,0.0,0.0,True
full_prefill_tokens,correct_label,0.003,12,0.5833333333333334,0.0,0.4166666666666667,True
full_prefill_tokens,wrong_label,0.0001,12,0.0,0.6666666666666666,0.0,True
full_prefill_tokens,wrong_label,0.0003,12,0.0,0.8333333333333334,0.0,True
full_prefill_tokens,wrong_label,0.001,12,0.0,0.9166666666666666,0.08333333333333333,True
full_prefill_tokens,wrong_label,0.003,12,0.0,0.5,0.5,True
full_prefill_tokens,token_permuted,0.0001,12,0.16666666666666666,0.0,0.0,True
full_prefill_tokens,token_permuted,0.0003,12,1.0,0.0,0.0,True
full_prefill_tokens,token_permuted,0.001,12,1.0,0.0,0.0,True
full_prefill_tokens,token_permuted,0.003,12,0.75,0.0,0.25,True
full_prefill_tokens,random_field,0.0001,12,0.0,0.0,0.0,False
full_prefill_tokens,random_field,0.0003,12,0.0,0.0,0.0,False
full_prefill_tokens,random_field,0.001,12,0.0,0.0,0.0,False
full_prefill_tokens,random_field,0.003,12,0.0,0.0,0.0,False
