event_id,audio_path,label,recording_id,provenance,expert_votes,condition
193131,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/193131.wav,Infant Cry,2022_3_3,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
213327,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/213327.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223077,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223077.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223312,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223312.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223332,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223332.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223352,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223352.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223383,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223383.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223396,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223396.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
223400,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/223400.wav,Infant Cry,2019_12_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
299793,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/299793.wav,Infant Cry,2022_3_7,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
329778,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/329778.wav,Infant Cry,2022_3_10,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
342684,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/342684.wav,Infant Cry,2022_3_11,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
352081,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/352081.wav,Infant Cry,2022_12_2,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
354197,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/354197.wav,Infant Cry,2022_3_12,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
357670,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/357670.wav,Infant Cry,2022_3_12,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
405841,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/405841.wav,Infant Cry,2022_4_3,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
508764,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/508764.wav,Infant Cry,2023_4_1,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
508801,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/508801.wav,Infant Cry,2023_4_1,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
509083,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/509083.wav,Infant Cry,2022_12_3,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
509091,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/509091.wav,Infant Cry,2022_12_3,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
518850,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/518850.wav,Infant Cry,2022_12_4,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
526040,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/526040.wav,Infant Cry,2021_1_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
526671,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/526671.wav,Infant Cry,2021_1_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
526711,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/526711.wav,Infant Cry,2021_1_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
540984,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/540984.wav,Infant Cry,2020_5_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
558438,/root/animal-omni-kv/data/marmaudio/expert_interventions/full_0-8k/558438.wav,Infant Cry,2020_10_0,four_experts_unanimous_affirmative,Yes|Yes|Yes|Yes,full_0-8k
